Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
25/07/2023,9.6,14.8,0,1.2,5.1,SSW,17,14:21,11.2,90,7,NNE,7,1037,14.1,57,2,SSW,9,1035.5
26/07/2023,4.9,14.7,0,1.8,8.3,N,22,9:38,8.6,85,4,NE,6,1035.8,14.2,57,7,SSW,7,1032.4
27/07/2023,6.8,17.2,0,1.4,8.6,N,43,11:59,9.7,78,1,N,15,1027.9,16.7,52,1,N,22,1022
28/07/2023,9.6,18.9,7.2,3.6,7.6,N,50,1:11,13,78,5,N,19,1015.8,18.4,50,2,NW,20,1015.5
29/07/2023,11.1,18.8,0,2.8,8.5,NNW,50,13:04,12.9,82,3,NNW,11,1019.7,18.1,49,5,NNW,22,1016.5
30/07/2023,10.1,17.9,0,4,6.4,NW,46,13:54,12.1,72,1,N,19,1017.9,16.7,53,7,NNW,22,1015.4
31/07/2023,10.6,16.9,3,1.8,6.7,N,41,14:48,12.7,64,1,NNW,11,1022.1,16.2,50,5,NNW,19,1020.5
1/08/2023,11.5,14.9,0,2.8,1.4,NNW,35,2:08,13.3,67,7,W,11,1028.8,14.7,54,7,SSW,9,1030.1
2/08/2023,5.8,17.1,0,3,8.1,N,43,14:23,7.9,83,6,NNE,11,1033.9,16.8,50,1,N,20,1029.6
3/08/2023,7.8,19.8,0,2.6,9.7,N,48,12:34,13.5,67,2,N,20,1029.3,19.6,45,1,N,22,1024.5
4/08/2023,13.4,18.2,0,5,3.4,N,61,10:32,16.2,55,7,N,22,1022.2,16.1,63,7,N,33,1020.2
5/08/2023,9.3,13.6,0,2.8,3,SSW,26,10:45,11,65,7,SW,9,1033.5,13,57,7,SW,7,1033.5
6/08/2023,8.6,13.4,0,0.6,0.8,S,20,13:12,9.9,91,8,WNW,4,1035.4,12.2,77,7,SSW,11,1033.6
7/08/2023,9,13.7,0,1.4,2.6,SW,19,13:06,10.6,84,7, ,Calm,1033.8,13.3,63,7,SSW,11,1032.2
8/08/2023,4.7,14.2,0,1,7.3,SSW,15,13:52,6.3,100,7,NE,7,1034,13.3,67,1,SSW,9,1030.3
9/08/2023,5.5,18.4,0.2,2.4,8.5,,,,11.4,74,7,N,13,1027,18.2,47,1,N,24,1020.9
